id,CT,MinHar3
1507077927,+3*8*28*28/21/30,1.2884655861923806
1602098074,-20*24*29*33/1/30,1.2884655861923806
209325510,+1*24-10*16-11*22,1.2870610120918076
208954672,+1*24+11*21-10*18,1.2870610120918076
208752435,+1*24+4*11-17*18,1.2870610120918076
199186348,+1*11+1*24-16*17,1.2870610120918076
180380718,+0*20+1*11-0*12,1.2867052144018698
1520395207,+6*13*21*24/3/34,1.2858344043094256
1025213825,+13*24/25+20*21/25,1.2858344043094256
443463697,+24*31-0*4-4*22,1.2858261241930409
1014783688,+13*15/5+17*19/21,1.285771381576301
1600152541,-17*20*22*32/1/16,1.285715081734634
443503293,+24*31-2*4-4*21,1.2852583870862873
443516753,+24*31-2*28-20*29,1.2852583870862873
443546200,+24*31-4*24-7*13,1.2852583870862873
443546538,+24*31-4*24-24*28,1.2852583870862873
1191215192,+24*26/20-22*34/5,1.2852583870862873
98747365,+10+15+20-3-12-27,1.2848665193342226
100297262,+10+20-3-12-28-31,1.2848665193342226
603994261,+1*31/14-13*25/6,1.284261116334625
1509454793,+3*24*28*30/21/22,1.2831858845595647
1492976919,+1*1*1*1*20/10,1.282932391612835
1493481423,+1*1*19*20/2/10,1.2828452335340597
1422700871,-9*30/33-17*29/1,1.2817902222089546
1525847619,+8*10*28*30/19/21,1.2817719470282585
1144373967,+20*21/11-3*12/11,1.2816880568990017
429268042,+20*25-12*25-25*27,1.2816863644075829
1190669760,+24*26*26-12*19*25,1.2815476092376732
588162168,+1*20/14-3*10/4,1.281369042547599
1566641578,-3*11*24*32/0/22,1.2810909521561586
1517265167,+5*16*20*26*31*33,1.2809103481450304
1517506760,+5*18*20*31*33/14,1.2809103481450304
1517539230,+5*18*24*25*30*31,1.2809103481450304
1517538378,+5*18*24*24*31*33,1.2809103481450304
1517506016,+5*18*20*30*30*31,1.2809103481450304
1517489752,+5*18*19*24*31/12,1.2809103481450304
1517400848,+5*17*21*24*30*31,1.2809103481450304
1517603298,+5*19*20*30*31*33,1.2809103481450304
1517635436,+5*19*24*24*26*31,1.2809103481450304
1517374123,+5*17*19*20*20*26,1.2809103481450304
1517304926,+5*16*24*30*31*31,1.2809103481450304
1517268050,+5*16*20*30*31/14,1.2809103481450304
1517301066,+5*16*24*25*26*31,1.2809103481450304
1517379020,+5*17*19*25*25*33,1.2809103481450304
1517312436,+5*16*25*31*31*33,1.2809103481450304
